Type,Front,Hint,Back
Cloze,"Ang {{c1::queues}} ay nagde-defer ng time-consuming tasks para hindi ma-block ang request.",,queues
Cloze,"Ang {{c1::job}} ay isang class na naglalaman ng task na pinoproseso ng queue worker.",,job
Cloze,"Ang {{c1::queue worker}} ay isang process na tumatakbo sa background para i-process ang jobs.",,queue worker
Cloze,"Ang {{c1::dispatch}} ay ang paraan para i-queue ang isang job para sa background processing.",,dispatch
Cloze,"Ang {{c1::scheduler}} (schedule command) ay nagrurun ng mga task sa tinukoy na interval gamit ang cron.",,scheduler
Cloze,"Ang {{c1::events}} ay ginagamit para i-notify ang ibang bahagi ng app kapag may nangyaring action.",,events
Cloze,"Ang {{c1::listener}} ay ang tumutugon kapag may na-dispatch na event.",,listener
Cloze,"Ang {{c1::observer}} ay tumutugon sa model events (created, updated, deleted) nang awtomatiko.",,observer
Cloze,"Ang {{c1::failed_jobs}} table ay nag-iimbak ng jobs na paulit-ulit na nag-fail.",,failed_jobs
Cloze,"Ang {{c1::retry}} ay ang process ng pag-reprocess ng failed jobs pagkatapos i-fix ang issue.",,retry
